Season,Circuit,Driver,Stint,Compound,NLaps,LooRmseLinear,LooRmseQuadratic,QuadraticWins
2022,Hungary,STR,3.0,SOFT,16,0.8505536778633126,0.9223403239200372,False
2022,Hungary,TSU,2.0,MEDIUM,15,0.39417275196671775,0.3996972056638095,False
2022,Hungary,TSU,3.0,SOFT,13,0.8663570207904099,0.9558923103871825,False
2022,Hungary,TSU,4.0,SOFT,12,2.4100814212659363,2.640291080911116,False
2022,Hungary,VER,1.0,SOFT,12,0.4550461246038415,0.5140754567008666,False
2022,Hungary,VER,2.0,MEDIUM,18,0.29855531887733305,0.3169036162040081,False
2022,Hungary,VER,3.0,MEDIUM,25,0.3006042269326754,0.31993954096433724,False
2022,Hungary,VET,1.0,SOFT,10,0.20942404629888206,0.19803630378348983,True
2022,Hungary,VET,2.0,MEDIUM,26,0.30457994803301053,0.2730281882182121,True
2022,Hungary,VET,3.0,MEDIUM,17,0.9667017144646705,0.7098864193540513,True
2022,Hungary,ZHO,1.0,MEDIUM,23,0.40331808893536103,0.40591853709616904,False
2022,Hungary,ZHO,2.0,HARD,15,0.2524859897514138,0.2739988327472443,False
2022,Hungary,ZHO,3.0,SOFT,12,0.3927815087005162,0.4358629581174495,False
2022,Netherlands,ALB,1.0,MEDIUM,15,0.25005601945691114,0.23350178131723973,True
2022,Netherlands,ALB,2.0,MEDIUM,18,0.2415159559483385,0.20239723204247878,True
2022,Netherlands,ALB,5.0,SOFT,12,0.6380986465869062,0.18181125766820339,True
2022,Netherlands,ALO,2.0,HARD,31,0.2576431009758283,0.23202159347732304,True
2022,Netherlands,ALO,4.0,SOFT,10,0.1721247946361376,0.19280142122049118,False
2022,Netherlands,BOT,1.0,SOFT,12,0.342746309490022,0.3175379684885933,True
2022,Netherlands,BOT,2.0,SOFT,14,0.27368054364488525,0.2401668390245214,True
2022,Netherlands,GAS,2.0,MEDIUM,19,0.24113722640440788,0.2536395574854302,False
2022,Netherlands,GAS,3.0,HARD,13,0.15234886278604715,0.14011406523498576,True
2022,Netherlands,GAS,5.0,SOFT,12,0.7238284220825145,0.4832530304711637,True
2022,Netherlands,HAM,1.0,MEDIUM,24,0.20695660923378711,0.21558170809929206,False
2022,Netherlands,HAM,2.0,HARD,11,0.2848867255994956,0.3070182170884688,False
2022,Netherlands,HAM,4.0,MEDIUM,12,0.6209793453459098,0.7151658516392803,False
2022,Netherlands,LAT,2.0,MEDIUM,10,0.22525527839547738,0.15506402010050457,True
2022,Netherlands,LAT,3.0,HARD,17,0.9157381302114544,0.8592522443796208,True
2022,Netherlands,LAT,5.0,SOFT,10,0.26216396823492594,0.2433141742683688,True
2022,Netherlands,LEC,1.0,SOFT,13,0.33718032736166437,0.29651875134194583,True
2022,Netherlands,LEC,2.0,MEDIUM,24,0.1731066497542292,0.14357237340776616,True
2022,Netherlands,LEC,5.0,SOFT,10,0.2200635890372929,0.27834669406483215,False
2022,Netherlands,MAG,1.0,MEDIUM,10,0.46470959996922945,0.6767090231848069,False
2022,Netherlands,MAG,2.0,MEDIUM,17,0.1497009777100559,0.1615291926790646,False
2022,Netherlands,MAG,5.0,SOFT,11,0.24327266444395954,0.21501659214090954,True
2022,Netherlands,MSC,2.0,MEDIUM,17,0.4459465150594218,0.446507864591166,False
2022,Netherlands,MSC,5.0,SOFT,12,0.7183221118947006,0.7869269876326234,False
2022,Netherlands,NOR,1.0,MEDIUM,12,0.16215455520978325,0.2161289155793539,False
2022,Netherlands,NOR,2.0,HARD,26,0.21680054965845824,0.2121647447948536,True
